id,created_at,updated_at,name,short_name,stock_ticker,description,cik,gics_sector,gics_sub_industry,headquarters_location,founded_year
1,2021-06-18 12:12:46,2021-06-18 12:12:46,3M Company,3M Company,MMM,,0000066740,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1902
44,2021-06-18 12:12:46,2021-06-18 12:12:46,A.O. Smith Corp,A.O. Smith Corp,AOS,,0000091142,Industrials,Building Products,"Milwaukee, Wisconsin",1916
10,2021-06-18 12:12:46,2021-06-18 12:12:46,AES Corp,AES Corp,AES,,0000874761,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1981
41,2021-06-18 12:12:46,2021-06-18 12:12:46,"ANSYS, Inc.","ANSYS, Inc.",ANSS,,0001013462,Information Technology,Application Software,"Canonsburg, Pennsylvania",1969
45,2021-06-18 12:12:46,2021-06-18 12:12:46,APA Corporation,APA Corporation,APA,,0000006769,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1954
53,2021-06-18 12:12:46,2021-06-18 12:12:46,AT&T Inc.,AT&T Inc.,T,,0000732717,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983 (1885)
3,2021-06-18 12:12:46,2021-06-18 12:12:46,AbbVie Inc.,AbbVie Inc.,ABBV,,0001551152,Health Care,Pharmaceuticals,"North Chicago, Illinois",2013 (1888)
2,2021-06-18 12:12:46,2021-06-18 12:12:46,Abbott Laboratories,Abbott Laboratories,ABT,,0000001800,Health Care,Health Care Equipment,"North Chicago, Illinois",1888
4,2021-06-18 12:12:46,2021-06-18 12:12:46,Abiomed,Abiomed,ABMD,,0000815094,Health Care,Health Care Equipment,"Danvers, Massachusetts",1981
5,2021-06-18 12:12:46,2021-06-18 12:12:46,Accenture,Accenture,ACN,,0001467373,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1989
6,2021-06-18 12:12:46,2021-06-18 12:12:46,Activision Blizzard,Activision Blizzard,ATVI,,0000718877,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2008
7,2021-06-18 12:12:46,2021-06-18 12:12:46,Adobe Inc.,Adobe,ADBE,,0000796343,Information Technology,Application Software,"San Jose, California",1982
9,2021-06-18 12:12:46,2021-06-18 12:12:46,Advance Auto Parts,Advance Auto Parts,AAP,,0001158449,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",1932
8,2021-06-18 12:12:46,2021-06-18 12:12:46,Advanced Micro Devices,Advanced Micro Devices,AMD,,0000002488,Information Technology,Semiconductors,"Santa Clara, California",1969
11,2021-06-18 12:12:46,2021-06-18 12:12:46,Aflac,Aflac,AFL,,0000004977,Financials,Life & Health Insurance,"Columbus, Georgia",1955
12,2021-06-18 12:12:46,2021-06-18 12:12:46,Agilent Technologies,Agilent Technologies,A,,0001090872,Health Care,Health Care Equipment,"Santa Clara, California",1999
13,2021-06-18 12:12:46,2021-06-18 12:12:46,Air Products & Chemicals,Air Products & Chemicals,APD,,0000002969,Materials,Industrial Gases,"Allentown, Pennsylvania",1940
14,2021-06-18 12:12:46,2021-06-18 12:12:46,Akamai Technologies,Akamai Technologies,AKAM,,0001086222,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1998
15,2021-06-18 12:12:46,2021-06-18 12:12:46,Alaska Air Group,Alaska Air Group,ALK,,0000766421,Industrials,Airlines,"Seattle, Washington",1985
16,2021-06-18 12:12:46,2021-06-18 12:12:46,Albemarle Corporation,Albemarle Corporation,ALB,,0000915913,Materials,Specialty Chemicals,"Charlotte, North Carolina",1994
17,2021-06-18 12:12:46,2021-06-18 12:12:46,Alexandria Real Estate Equities,Alexandria Real Estate Equities,ARE,,0001035443,Real Estate,Office REITs,"Pasadena, California",1994
18,2021-06-18 12:12:46,2021-06-18 12:12:46,Alexion Pharmaceuticals,Alexion Pharmaceuticals,ALXN,,0000899866,Health Care,Pharmaceuticals,"Boston, Massachusetts",1992
19,2021-06-18 12:12:46,2021-06-18 12:12:46,Align Technology,Align Technology,ALGN,,0001097149,Health Care,Health Care Supplies,"San Jose, California",1997
20,2021-06-18 12:12:46,2021-06-18 12:12:46,Allegion,Allegion,ALLE,,0001579241,Industrials,Building Products,"Dublin, Ireland",1908
21,2021-06-18 12:12:46,2021-06-18 12:12:46,Alliant Energy,Alliant Energy,LNT,,0000352541,Utilities,Electric Utilities,"Madison, Wisconsin",1917
22,2021-06-18 12:12:46,2021-06-18 12:12:46,Allstate Corp,Allstate Corp,ALL,,0000899051,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1931
23,2021-06-18 12:12:46,2021-06-18 12:12:46,Alphabet Inc. (Class A),Alphabet Inc. (Class A),GOOGL,,0001652044,Communication Services,Interactive Media & Services,"Mountain View, California",1998
24,2021-06-18 12:12:46,2021-06-18 12:12:46,Alphabet Inc. (Class C),Alphabet Inc. (Class C),GOOG,,0001652044,Communication Services,Interactive Media & Services,"Mountain View, California",1998
25,2021-06-18 12:12:46,2021-06-18 12:12:46,Altria Group Inc,Altria Group Inc,MO,,0000764180,Consumer Staples,Tobacco,"Richmond, Virginia",1985
26,2021-06-18 12:12:46,2021-06-18 12:12:46,Amazon.com Inc.,Amazon.com Inc.,AMZN,,0001018724,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",1994
27,2021-06-18 12:12:46,2021-06-18 12:12:46,Amcor,Amcor,AMCR,,0001748790,Materials,Paper Packaging,"Zurich, Switzerland",2019 (1860)
28,2021-06-18 12:12:46,2021-06-18 12:12:46,Ameren Corp,Ameren Corp,AEE,,0001002910,Utilities,Multi-Utilities,"St. Louis, Missouri",1902
29,2021-06-18 12:12:46,2021-06-18 12:12:46,American Airlines Group,American Airlines,AAL,,0000006201,Industrials,Airlines,"Fort Worth, Texas",1934
30,2021-06-18 12:12:46,2021-06-18 12:12:46,American Electric Power,American Electric Power,AEP,,0000004904,Utilities,Electric Utilities,"Columbus, Ohio",1906
